year,month,ASST_NT,BURG_NT,DRUG_NT,HOMD_NT,ROBB_NT,THEF_NT,WCCR_NT
2014,6,388,687,21,1,200,1977,179
2014,7,463,747,16,1,213,2113,210
2014,8,406,733,20,7,158,1943,184
2014,9,417,669,15,5,167,1875,182
2014,10,423,777,30,2,186,2137,187
2014,11,325,696,21,4,183,1897,174
2014,12,328,726,13,7,253,2147,155
2015,1,335,671,13,8,245,1985,165
2015,2,290,381,17,2,150,1569,115
2015,3,404,520,28,4,172,1827,134
2015,4,414,545,27,5,199,1964,169
2015,5,452,697,23,7,235,2025,178
2015,6,471,626,19,7,260,2007,166
2015,7,443,731,24,2,214,2149,152
2015,8,462,687,25,2,234,2050,176
2015,9,445,725,20,4,186,1934,171
2015,10,448,705,14,14,209,2202,173
2015,11,385,679,22,2,229,2036,170
2015,12,376,769,20,3,248,2124,180
2016,1,375,636,27,5,294,2089,204
2016,2,395,612,36,4,215,1742,161
2016,3,413,627,40,11,165,1876,167
2016,4,436,649,30,4,246,1944,152
2016,5,496,732,32,10,273,2046,161
2016,6,498,686,28,5,208,2135,142
2016,7,513,616,33,8,233,2053,140
2016,8,451,644,38,9,267,2066,124
2016,9,474,653,36,14,268,2030,137
2016,10,517,677,35,12,264,2073,133
2016,11,414,681,34,3,218,2016,124
2016,12,399,757,28,9,266,2106,134
2017,1,441,611,22,1,204,1732,114
2017,2,398,496,17,4,164,1463,132
2017,3,437,502,31,9,138,1581,116
2017,4,501,528,21,7,155,1582,120
2017,5,515,556,24,5,192,1758,135
2017,6,486,564,17,2,191,1659,135
2017,7,533,563,15,8,200,1749,106
2017,8,501,583,23,6,199,1838,122
2017,9,443,500,13,6,171,1735,123
2017,10,461,570,12,3,198,1718,121
2017,11,401,510,29,7,207,1750,122
2017,12,427,489,15,2,148,1817,120
2018,1,397,512,98,3,174,1792,150
2018,2,340,438,85,3,149,1558,128
2018,3,456,499,135,6,146,1779,135
2018,4,442,532,126,3,196,1847,130
2018,5,484,592,115,7,192,2121,118
2018,6,505,595,133,1,172,2081,156
2018,7,491,505,170,2,217,2137,150
2018,8,498,520,146,5,209,2135,169
2018,9,490,470,162,4,250,2197,119
2018,10,478,410,151,4,247,2235,134
2018,11,394,489,119,2,277,2202,130
2018,12,497,456,129,2,271,2444,159
2019,1,421,412,160,0,239,2092,173
2019,2,463,426,131,5,211,1785,124
2019,3,474,441,146,2,245,2015,146
2019,4,478,536,108,2,262,1916,138
2019,5,574,510,149,8,243,2038,159
2019,6,614,504,181,5,282,2131,137
2019,7,570,502,159,4,299,2265,130
2019,8,659,503,125,5,297,2177,148
2019,9,570,457,128,4,227,2073,137
2019,10,533,503,117,2,236,2065,135
2019,11,513,469,104,9,243,1955,116
2019,12,517,581,126,4,267,2250,116
2020,1,508,567,148,8,224,2132,144
2020,2,469,465,150,2,223,1935,128
2020,3,485,456,228,0,174,1782,130
2020,4,495,392,260,3,145,1775,99
2020,5,609,403,185,4,127,1933,111
2020,6,618,407,84,11,187,2017,94
2020,7,658,408,199,9,197,2077,121
2020,8,637,420,432,2,158,2212,116
2020,9,589,357,459,6,165,2211,102
2020,10,605,437,399,8,211,2367,101
2020,11,533,427,389,8,164,2050,108
2020,12,541,450,371,5,211,2276,111
